nid,ifid,raw_T,scbr,delta,flag
1,0, 297174907000000, 0.031648, 0.030000, 0
1,1, 297174907000000, 0.023007, 0.030000, 0
1,2, 297174907000000, 0.025465, 0.030000, 0
2,0, 297174907000000, 0.031084, 0.030000, 0
2,1, 297174907000000, 0.022875, 0.030000, 0
2,2, 297174907000000, 0.026070, 0.030000, 0
3,0, 297174907000000, 0.029951, 0.030000, 0
3,1, 297174907000000, 0.022600, 0.030000, 0
3,2, 297174907000000, 0.029009, 0.030000, 0
0,0, 297174907200000, 0.033231, 0.030000, 0
0,1, 297174907200000, 0.024661, 0.030000, 0
0,2, 297174907200000, 0.028530, 0.030000, 0
1,0, 297174907200000, 0.034704, 0.030000, 0
1,1, 297174907200000, 0.021724, 0.030000, 0
1,2, 297174907200000, 0.022953, 0.030000, 0
2,0, 297174907200000, 0.032962, 0.030000, 0
2,1, 297174907200000, 0.018737, 0.030000, 0
2,2, 297174907200000, 0.023255, 0.030000, 0
3,0, 297174907200000, 0.033855, 0.030000, 0
3,1, 297174907200000, 0.021520, 0.030000, 0
3,2, 297174907200000, 0.029104, 0.030000, 0
0,0, 297174907400000, 0.028195, 0.030000, 0
0,1, 297174907400000, 0.022551, 0.030000, 0
0,2, 297174907400000, 0.028865, 0.030000, 0
1,0, 297174907400000, 0.028932, 0.030000, 0
1,1, 297174907400000, 0.019622, 0.030000, 0
1,2, 297174907400000, 0.021696, 0.030000, 0
2,0, 297174907400000, 0.029521, 0.030000, 0
2,1, 297174907400000, 0.018129, 0.030000, 0
2,2, 297174907400000, 0.023308, 0.030000, 0
3,0, 297174907400000, 0.031428, 0.030000, 0
3,1, 297174907400000, 0.018060, 0.030000, 0
3,2, 297174907400000, 0.026232, 0.030000, 0
0,0, 297174907600000, 0.032978, 0.030000, 0
0,1, 297174907600000, 0.018575, 0.030000, 0
0,2, 297174907600000, 0.027572, 0.030000, 0
1,0, 297174907600000, 0.034806, 0.030000, 0
1,1, 297174907600000, 0.020031, 0.030000, 0
1,2, 297174907600000, 0.025448, 0.030000, 0
2,0, 297174907600000, 0.030720, 0.030000, 0
2,1, 297174907600000, 0.016364, 0.030000, 0
2,2, 297174907600000, 0.024794, 0.030000, 0
3,0, 297174907600000, 0.033134, 0.030000, 0
3,1, 297174907600000, 0.019250, 0.030000, 0
3,2, 297174907600000, 0.024796, 0.030000, 0
0,0, 297174907800000, 0.026609, 0.030000, 0
0,1, 297174907800000, 0.015128, 0.030000, 0
0,2, 297174907800000, 0.025466, 0.030000, 0
1,0, 297174907800000, 0.026063, 0.030000, 0
1,1, 297174907800000, 0.015855, 0.030000, 0
1,2, 297174907800000, 0.025864, 0.030000, 0
2,0, 297174907800000, 0.026940, 0.030000, 0
2,1, 297174907800000, 0.014022, 0.030000, 0
2,2, 297174907800000, 0.024077, 0.030000, 0
3,0, 297174907800000, 0.028147, 0.030000, 0
3,1, 297174907800000, 0.014005, 0.030000, 0
3,2, 297174907800000, 0.024078, 0.030000, 0
0,0, 297174908000000, 0.027804, 0.030000, 0
0,1, 297174908000000, 0.020704, 0.030000, 0
0,2, 297174908000000, 0.028413, 0.030000, 0
1,0, 297174908000000, 0.026071, 0.030000, 0
1,1, 297174908000000, 0.016688, 0.030000, 0
1,2, 297174908000000, 0.024612, 0.030000, 0
2,0, 297174908000000, 0.027970, 0.030000, 0
2,1, 297174908000000, 0.018691, 0.030000, 0
2,2, 297174908000000, 0.024798, 0.030000, 0
3,0, 297174908000000, 0.027113, 0.030000, 0
3,1, 297174908000000, 0.017222, 0.030000, 0
3,2, 297174908000000, 0.027719, 0.030000, 0
0,0, 297174908200000, 0.029862, 0.030000, 0
0,1, 297174908200000, 0.022032, 0.030000, 0
0,2, 297174908200000, 0.021467, 0.030000, 0
1,0, 297174908200000, 0.030456, 0.030000, 0
1,1, 297174908200000, 0.020024, 0.030000, 0
1,2, 297174908200000, 0.019166, 0.030000, 0
2,0, 297174908200000, 0.028485, 0.030000, 0
2,1, 297174908200000, 0.023946, 0.030000, 0
2,2, 297174908200000, 0.017179, 0.030000, 0
3,0, 297174908200000, 0.029517, 0.030000, 0
3,1, 297174908200000, 0.023211, 0.030000, 0
3,2, 297174908200000, 0.021120, 0.030000, 0
0,0, 297174908400000, 0.029431, 0.030000, 0
0,1, 297174908400000, 0.025616, 0.030000, 0
0,2, 297174908400000, 0.021413, 0.030000, 0
1,0, 297174908400000, 0.031188, 0.030000, 0
1,1, 297174908400000, 0.021692, 0.030000, 0
1,2, 297174908400000, 0.021743, 0.030000, 0
2,0, 297174908400000, 0.028743, 0.030000, 0
2,1, 297174908400000, 0.022193, 0.030000, 0
2,2, 297174908400000, 0.017350, 0.030000, 0
3,0, 297174908400000, 0.029258, 0.030000, 0
3,1, 297174908400000, 0.023286, 0.030000, 0
3,2, 297174908400000, 0.019780, 0.030000, 0
0,0, 297174908600000, 0.029216, 0.030000, 0
0,1, 297174908600000, 0.024488, 0.030000, 0
0,2, 297174908600000, 0.020927, 0.030000, 0
1,0, 297174908600000, 0.031554, 0.030000, 0
1,1, 297174908600000, 0.023986, 0.030000, 0
1,2, 297174908600000, 0.024012, 0.030000, 0
2,0, 297174908600000, 0.031791, 0.030000, 0
2,1, 297174908600000, 0.024236, 0.030000, 0
2,2, 297174908600000, 0.021815, 0.030000, 0
3,0, 297174908600000, 0.030589, 0.030000, 0
3,1, 297174908600000, 0.026243, 0.030000, 0
3,2, 297174908600000, 0.021570, 0.030000, 0
0,0, 297174908800000, 0.036408, 0.030000, 0
0,1, 297174908800000, 0.025384, 0.030000, 0
0,2, 297174908800000, 0.026523, 0.030000, 0
1,0, 297174908800000, 0.039037, 0.030000, 0
1,1, 297174908800000, 0.025133, 0.030000, 0
1,2, 297174908800000, 0.023686, 0.030000, 0
2,0, 297174908800000, 0.036236, 0.030000, 0
2,1, 297174908800000, 0.025258, 0.030000, 0
2,2, 297174908800000, 0.021127, 0.030000, 0
3,0, 297174908800000, 0.035635, 0.030000, 0
3,1, 297174908800000, 0.021881, 0.030000, 0
3,2, 297174908800000, 0.025385, 0.030000, 0
0,0, 297174909000000, 0.034164, 0.030000, 0
0,1, 297174909000000, 0.024372, 0.030000, 0
0,2, 297174909000000, 0.027862, 0.030000, 0
1,0, 297174909000000, 0.036938, 0.030000, 0
1,1, 297174909000000, 0.024246, 0.030000, 0
1,2, 297174909000000, 0.024983, 0.030000, 0
2,0, 297174909000000, 0.032618, 0.030000, 0
2,1, 297174909000000, 0.022849, 0.030000, 0
2,2, 297174909000000, 0.026624, 0.030000, 0
3,0, 297174909000000, 0.033777, 0.030000, 0
3,1, 297174909000000, 0.021161, 0.030000, 0
3,2, 297174909000000, 0.025832, 0.030000, 0
0,0, 297174909200000, 0.034502, 0.030000, 0
0,1, 297174909200000, 0.025326, 0.030000, 0
0,2, 297174909200000, 0.028531, 0.030000, 0
